v1,v2
45,25
47,25
49,25
50,25
50,25
48,25
47,25
47,25
47,25
47,25
46,25
46,25
46,25
46,25
46,25
47,25
48,25
49,25
51,25
53,25
56,25
59,25
62,25
64,25
66,25
67,25
68,25
69,25
70,25
71,25
73,25
73,25
72,25
71,25
70,25
69,25
67,25
64,25
61,25
57,25
54,25
51,25
50,25
50,25
44,26
37,26
30,26
29,26
27,26
26,26
24,26
23,26
22,26
21,26
19,26
18,26
17,26
16,26
14,26
13,26
13,26
13,26
13,26
13,26
13,26
13,26
13,26
13,26
13,26
13,26
13,26
13,26
13,26
13,26
13,26
15,26
18,26
23,26
28,26
33,26
38,26
41,26
43,26
45,26
45,26
46,26
47,26
48,26
49,26
51,26
52,26
54,26
54,26
55,26
55,26
55,26
55,26
55,26
55,26
54,26
54,26
54,26
54,26
54,26
55,26
55,26
55,26
56,26
57,26
57,26
58,26
57,26
56,26
55,26
56,26
58,26
61,26
64,26
66,26
67,26
67,26
67,26
68,26
68,26
68,26
68,26
68,26
68,26
68,26
68,26
69,26
70,26
73,26
78,26
80,26
81,26
83,26
83,26
84,26
85,26
86,26
86,26
87,26
88,26
89,26
90,26
90,26
91,26
91,26
91,26
91,26
91,26
91,26
91,26
91,26
91,26
91,26
91,26
91,27
91,27
91,27
91,27
92,27
92,26
93,26
94,26
94,26
95,26
95,26
95,26
94,26
92,26
92,26
92,26
92,26
92,26
90,26
88,26
85,26
82,27
80,27
78,27
77,27
76,27
75,27
75,27
75,27
74,27
73,27
71,27
67,27
61,27
54,27
48,27
41,27
34,27
26,27
17,27
8,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
2,27
5,27
7,27
8,27
10,27
11,27
12,27
12,27
12,27
12,27
12,27
12,27
12,27
12,27
12,27
12,27
12,27
12,27
12,27
12,27
12,27
12,27
13,27
15,27
16,27
16,27
17,27
18,27
19,27
21,27
23,27
24,27
26,27
26,27
26,27
25,27
23,27
21,27
20,27
19,27
19,27
19,27
19,27
19,27
19,27
19,27
19,27
19,27
19,27
19,27
19,27
19,27
19,27
19,27
19,27
18,27
17,27
16,27
15,27
14,27
9,27
6,27
4,27
3,27
2,27
2,27
2,27
2,27
2,27
1,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,28
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
1,27
2,27
3,28
4,28
6,28
8,28
11,28
14,28
18,28
21,28
23,28
25,28
26,28
28,28
31,28
32,28
34,28
35,28
36,28
38,28
39,28
40,28
41,28
40,28
40,28
39,28
39,28
39,28
39,28
39,28
39,28
40,28
41,28
42,28
44,28
45,28
45,28
44,28
44,28
44,28
45,28
45,28
46,28
47,28
48,28
49,28
50,28
50,28
51,28
51,28
51,28
51,28
51,28
51,28
50,28
50,28
50,28
50,28
50,28
50,28
50,28
50,28
50,28
50,28
50,28
50,28
49,28
48,28
46,28
41,28
40,28
39,28
38,28
37,28
37,28
37,28
37,28
38,28
40,28
43,28
44,28
45,28
45,28
46,28
46,28
47,28
47,28
47,28
47,28
48,28
48,28
48,28
48,28
48,28
48,28
49,28
50,28
52,28
54,28
55,28
56,28
56,28
56,28
56,28
56,28
56,28
56,28
56,28
56,28
56,28
56,28
57,28
58,28
60,28
62,28
62,28
63,28
63,28
62,28
62,28
61,28
60,28
60,28
60,28
60,28
61,28
62,28
63,28
64,28
64,28
64,28
64,28
64,28
63,28
63,28
62,28
61,28
60,28
58,28
57,28
57,28
57,28
57,28
57,28
57,28
57,28
57,28
57,28
56,28
55,28
54,28
52,28
50,28
48,28
47,28
47,28
47,28
47,28
47,28
47,28
47,28
47,28
47,28
47,28
47,28
47,28
48,28
48,28
50,28
53,28
55,28
57,28
56,28
56,28
55,28
54,28
52,28
51,28
49,28
47,28
46,28
45,28
45,28
45,28
45,28
45,28
45,28
45,28
45,28
45,28
45,28
45,28
45,28
45,28
45,28
45,28
45,28
45,28
45,28
46,28
46,28
45,28
45,28
43,28
42,28
40,28
39,28
39,28
39,28
40,28
43,28
45,28
46,28
47,28
47,28
47,28
48,28
50,28
52,28
54,28
54,28
55,28
55,28
55,28
55,28
55,28
55,28
55,28
54,28
54,28
54,28
54,28
54,28
54,28
54,28
54,28
54,28
54,28
55,28
57,28
59,28
60,28
59,28
58,28
57,28
56,28
55,28
54,28
53,28
53,28
53,28
53,28
53,28
53,28
53,28
53,28
53,28
53,28
53,28
53,28
53,28
52,28
51,28
50,28
48,28
46,28
43,28
40,28
37,28
35,28
34,28
33,28
33,28
33,28
34,28
36,28
39,28
40,28
40,28
40,28
40,27
40,27
40,27
39,27
38,27
35,27
33,27
30,27
28,27
26,27
24,27
23,27
23,28
23,27
23,27
23,27
23,27
23,27
24,27
24,27
24,27
23,27
23,27
22,27
21,27
21,27
21,27
20,27
20,27
19,27
18,27
14,27
12,27
11,27
10,27
9,27
8,27
8,27
7,27
7,27
5,27
4,27
4,27
4,27
3,27
2,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,27
0,27
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,27
0,27
0,27
0,27
0,27
0,27
0,27
2,27
6,26
7,26
8,26
8,26
8,26
8,26
8,26
8,26
8,26
8,26
8,26
8,26
8,26
7,27
5,27
2,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,26
0,26
0,26
0,26
0,26
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
2,27
5,27
8,27
10,27
12,27
13,27
16,27
20,27
24,27
27,27
28,27
29,27
29,27
29,27
29,27
30,27
32,27
35,27
39,27
41,27
43,27
44,27
46,27
48,27
50,27
51,27
52,27
52,27
52,27
52,27
52,27
52,27
52,27
52,27
52,27
52,27
53,27
54,27
54,27
55,27
55,27
56,27
57,27
58,27
59,27
60,27
61,27
62,27
62,27
63,27
63,27
62,27
61,27
60,27
59,27
59,27
59,27
59,27
58,27
57,27
56,27
55,27
55,27
55,27
55,27
56,27
59,27
62,27
64,27
64,27
64,27
64,27
64,27
65,27
66,27
66,27
67,27
67,27
67,27
67,27
67,27
67,27
67,27
67,27
68,27
68,27
68,27
68,27
68,27
68,27
68,27
68,27
68,27
67,27
67,27
66,27
65,27
65,27
65,27
65,27
65,27
65,27
65,27
67,27
67,27
68,27
68,27
68,27
68,27
68,27
68,27
68,27
68,27
68,27
68,27
68,27
68,27
68,27
68,27
68,27
68,27
68,27
68,27
69,27
69,27
69,27
69,27
69,27
69,27
69,27
69,27
69,27
69,27
69,27
69,27
70,27
70,27
72,27
72,27
73,27
74,27
75,27
75,27
76,27
76,27
76,27
77,27
78,27
78,27
79,27
79,27
79,27
79,27
78,27
77,27
75,27
74,27
74,27
74,27
74,27
74,27
74,27
75,27
76,27
76,27
77,27
77,27
77,27
77,27
77,27
77,27
78,27
78,27
78,27
78,27
78,27
79,27
80,27
82,27
84,27
84,27
85,27
85,27
85,27
85,27
85,27
85,27
86,27
86,27
86,27
87,27
88,27
88,27
89,27
89,27
89,27
89,27
89,27
90,27
90,27
90,27
90,27
91,27
92,27
93,27
94,27
96,27
96,27
96,27
95,27
95,27
95,27
95,27
97,27
100,27
103,27
108,27
112,27
115,27
117,27
118,27
119,27
120,27
120,27
121,27
121,27
122,27
124,27
126,27
128,27
129,27
130,27
131,27
132,27
134,27
134,27
135,27
135,27
136,27
136,27
138,27
140,27
142,27
143,27
143,27
143,27
143,27
145,27
148,27
152,27
155,27
158,27
161,27
163,27
165,27
165,27
166,27
167,27
170,27
174,27
178,27
181,27
182,27
183,28
184,28
184,28
184,28
184,28
184,28
184,28
185,28
186,28
187,28
188,28
189,28
189,28
189,28
189,28
189,28
189,28
190,28
191,28
192,28
193,28
194,28
194,28
195,28
195,28
195,28
195,28
195,28
196,28
196,28
197,28
197,28
197,28
197,28
197,28
197,28
197,28
197,28
197,28
197,28
196,28
195,28
193,28
191,28
189,28
189,28
189,28
189,28
189,28
189,28
189,28
189,28
190,28
192,28
195,28
200,28
206,28
210,28
212,28
213,28
213,28
213,28
214,28
215,28
217,28
218,28
219,28
220,28
220,28
219,28
219,28
218,28
218,28
217,28
216,28
216,28
216,28
216,28
216,28
216,28
216,28
216,28
216,28
216,28
216,28
216,28
216,28
216,28
215,28
214,28
212,28
210,28
208,28
205,28
202,28
199,28
197,29
196,29
196,29
196,29
196,29
195,29
195,29
194,29
192,29
190,29
187,29
186,29
185,29
185,29
185,29
184,29
184,29
184,29
184,29
184,29
184,29
184,29
184,29
184,29
184,29
184,29
184,29
184,29
184,29
184,29
184,29
184,29
184,29
185,29
188,29
190,29
192,29
193,29
193,29
194,29
195,29
195,29
196,29
196,29
195,29
195,29
195,29
195,29
195,29
195,29
195,29
195,29
195,29
195,29
196,29
197,29
197,29
198,29
198,29
198,29
198,29
198,29
198,29
197,29
197,29
196,29
195,29
195,29
194,29
194,29
194,29
194,29
194,29
194,29
194,29
194,29
194,29
194,29
195,29
196,29
197,29
198,29
200,29
202,29
204,29
206,29
208,29
209,29
211,29
214,29
215,29
216,29
218,29
218,29
219,29
219,29
219,29
219,29
219,29
219,29
219,29
219,29
219,29
219,29
219,29
219,29
219,29
219,29
220,29
220,29
220,29
220,29
220,29
219,29
219,29
217,29
216,29
213,29
210,29
208,29
207,29
207,29
208,29
210,29
212,29
213,29
214,29
216,29
217,29
218,29
219,29
219,29
220,29
221,30
223,30
224,30
226,30
228,30
228,30
229,29
229,29
229,30
229,30
229,30
229,30
228,30
226,30
223,30
220,30
218,30
217,30
215,30
214,30
212,30
211,30
210,30
210,30
211,30
213,30
216,30
218,30
217,30
217,30
217,30
218,30
219,30
221,30
221,30
222,30
222,30
222,30
222,30
222,30
222,30
222,30
223,30
225,30
225,30
226,30
226,30
226,30
226,30
226,30
227,30
229,30
231,30
232,30
233,30
234,30
236,30
239,30
242,30
244,30
246,30
247,30
249,30
250,30
250,30
249,30
249,30
248,30
247,30
247,30
247,30
246,30
245,30
243,30
242,30
239,30
237,30
234,30
232,30
231,30
231,30
231,30
231,30
232,30
234,30
234,30
235,30
235,30
235,30
235,30
235,30
235,30
235,30
235,30
235,30
235,30
235,30
232,30
230,30
228,30
225,30
222,30
218,30
213,30
207,30
200,30
193,30
187,30
183,30
179,30
176,30
172,30
168,30
163,30
160,30
158,30
156,30
154,30
152,30
151,30
149,30
148,30
146,31
145,30
145,30
145,30
145,30
145,30
145,30
145,30
145,30
145,30
145,30
146,31
146,31
146,31
146,31
147,31
148,31
149,31
151,31
152,31
154,31
154,31
155,31
155,31
156,31
156,31
157,31
158,31
159,31
161,31
163,31
166,31
169,31
171,31
174,31
177,31
179,31
180,31
181,31
182,31
182,31
182,31
182,31
182,31
182,31
182,31
182,31
182,31
183,31
184,31
185,31
187,31
189,31
190,31
192,31
192,31
193,31
194,31
196,31
198,31
201,31
205,31
208,31
211,31
212,31
213,31
213,31
213,31
213,31
212,31
211,31
209,31
208,31
207,31
206,31
205,31
205,31
205,31
205,31
205,31
205,31
205,31
206,31
208,31
210,31
212,31
213,31
213,31
214,31
214,31
213,31
212,31
210,31
207,31
205,31
203,31
203,31
203,31
203,31
203,31
203,31
202,31
202,31
201,31
201,31
201,31
201,31
199,31
198,31
197,31
196,31
196,31
196,31
196,31
196,31
196,31
196,31
196,31
197,31
198,31
200,31
202,31
204,31
206,31
207,31
209,31
210,31
212,31
212,31
213,31
213,31
213,31
213,31
213,31
213,31
214,31
214,31
215,31
217,31
220,31
221,31
221,31
221,31
219,31
218,31
217,31
216,31
216,31
216,31
216,31
216,31
216,31
216,31
215,31
215,31
214,31
213,31
213,31
213,31
213,31
215,31
218,31
222,31
225,31
228,31
235,32
240,32
246,32
246,32
246,32
246,32
246,32
246,32
248,32
249,32
250,32
251,32
252,32
253,32
254,32
255,32
255,32
255,32
254,32
254,32
253,32
252,32
252,32
252,32
253,32
254,32
254,32
255,32
255,32
255,32
255,32
255,32
256,32
256,32
257,32
257,32
257,32
257,32
258,32
260,32
262,32
264,32
264,32
265,32
265,32
266,32
265,32
264,32
262,32
261,32
261,32
261,32
261,32
261,32
260,32
259,32
256,32
252,32
248,32
246,32
245,32
245,32
244,32
244,32
243,32
243,32
243,32
243,32
243,32
243,32
243,32
243,32
243,32
243,32
242,32
242,32
241,32
241,32
241,32
241,32
240,32
240,32
239,32
239,32
238,32
238,32
238,32
238,32
238,32
238,32
239,32
240,32
241,32
242,32
242,32
242,32
242,32
242,32
243,32
243,32
243,32
242,32
240,32
238,32
234,32
231,32
228,32
226,32
222,32
218,32
212,32
208,32
206,32
206,32
205,32
204,32
203,32
201,32
198,32
195,32
192,32
190,32
189,32
187,32
186,32
184,32
183,32
181,32
179,32
176,32
173,32
171,32
168,32
169,32
177,32
190,32
205,32
218,32
226,32
230,32
232,32
231,32
228,32
224,32
218,32
212,32
206,32
200,32
195,32
190,32
185,32
180,32
175,32
170,32
166,32
163,32
160,32
157,32
154,32
150,32
147,32
142,32
138,32
133,32
129,32
126,32
124,32
122,32
120,32
118,32
117,32
117,32
118,32
119,33
120,33
121,33
122,33
123,33
125,33
126,33
128,33
131,33
134,33
137,33
139,33
141,33
141,33
142,33
143,33
144,33
145,33
146,33
145,33
144,33
143,33
141,33
139,33
138,33
137,33
137,33
138,33
139,33
139,33
140,33
140,33
139,33
138,33
138,33
136,33
135,33
133,33
132,33
132,33
132,33
132,33
131,33
130,33
129,33
128,33
128,32
128,32
128,32
128,32
128,32
128,32
128,32
127,32
126,32
125,32
123,32
121,32
120,32
121,32
122,32
122,32
123,32
123,32
123,32
123,32
123,32
123,32
123,32
123,32
123,32
123,32
123,32
123,32
123,32
123,32
123,32
123,32
124,32
125,32
126,32
127,32
129,32
130,32
131,32
132,32
134,32
135,32
136,32
137,32
137,32
138,32
139,32
140,32
141,32
142,32
142,32
143,32
143,32
143,32
142,32
142,32
141,32
141,32
141,32
142,32
143,32
143,32
144,32
144,32
144,32
144,32
145,32
147,32
148,32
149,32
149,32
150,32
152,32
154,32
156,32
159,32
161,32
164,32
165,32
166,32
167,32
167,32
167,32
168,32
169,31
170,31
171,31
171,31
170,31
170,31
170,31
170,31
170,31
169,31
169,31
164,31
161,31
158,31
155,31
153,31
152,31
151,31
149,31
148,31
147,31
147,31
146,31
146,31
146,31
146,31
146,31
146,31
